id,user_id,course_id,created_at,content_type,user_rating,state
248188,280541,10,2020-01-01 00:58:22 UTC,Code Problem,5,resolved
248189,32227,12,2020-01-01 02:02:21 UTC,Multiple Problem,5,resolved
248190,357687,1,2020-01-01 02:14:37 UTC,Single_choice Problem,5,resolved
248191,486150,11,2020-01-01 02:15:15 UTC,No_submission Problem,4,resolved
248192,367920,13,2020-01-01 03:16:19 UTC,Datascience Problem,5,resolved
248193,382823,11,2020-01-01 03:24:23 UTC,Code Problem,5,resolved
248194,382823,11,2020-01-01 03:26:55 UTC,Code Problem,3,resolved
248195,38918,13,2020-01-01 03:33:30 UTC,VideoOffering,5,resolved
248196,367920,13,2020-01-01 03:38:42 UTC,Datascience Problem,5,resolved
248197,409753,13,2020-01-01 03:40:53 UTC,Datascience Problem,5,resolved
248198,486150,11,2020-01-01 03:58:37 UTC,VideoOffering,4,resolved
248199,498910,1,2020-01-01 04:02:49 UTC,No_submission Problem,5,resolved
248200,332079,10,2020-01-01 04:06:06 UTC,VideoOffering,5,resolved
248201,240547,10,2020-01-01 04:15:18 UTC,Code Problem,,resolved
248202,72084,10,2020-01-01 04:18:17 UTC,Code Problem,4,resolved
248203,306675,2,2020-01-01 04:36:58 UTC,Code Problem,5,resolved
248204,367920,13,2020-01-01 04:38:37 UTC,Datascience Problem,5,resolved
248205,417024,10,2020-01-01 04:53:22 UTC,VideoOffering,4,resolved
248206,379269,10,2020-01-01 04:53:41 UTC,Code Problem,5,resolved
248207,401648,1,2020-01-01 04:56:23 UTC,Multiple Problem,5,resolved
248208,351448,10,2020-01-01 04:59:44 UTC,Code Problem,1,resolved
248209,367611,1,2020-01-01 05:04:51 UTC,Code Problem,5,resolved
248210,251355,10,2020-01-01 05:21:21 UTC,Code Problem,5,resolved
248211,464708,1,2020-01-01 05:23:09 UTC,Code Problem,5,resolved
248212,466687,1,2020-01-01 05:28:07 UTC,VideoOffering,5,resolved
248213,196224,23,2020-01-01 05:40:43 UTC,Frontend Problem,5,resolved
248214,484997,1,2020-01-01 05:52:23 UTC,Code Problem,5,resolved
248215,176053,10,2020-01-01 05:56:28 UTC,Code Problem,1,resolved
248216,342310,1,2020-01-01 06:00:24 UTC,Code Problem,5,resolved
248217,345165,2,2020-01-01 06:03:42 UTC,Code Problem,5,resolved
248218,194753,10,2020-01-01 06:09:39 UTC,Code Problem,5,resolved
248219,343052,1,2020-01-01 06:10:59 UTC,Code Problem,4,resolved
248220,999,11,2020-01-01 06:11:23 UTC,Code Problem,5,resolved
248221,999,11,2020-01-01 06:12:06 UTC,Code Problem,5,resolved
248222,332121,2,2020-01-01 06:17:30 UTC,Code Problem,1,resolved
248223,145082,2,2020-01-01 06:20:39 UTC,No_submission Problem,5,resolved
248224,89268,6,2020-01-01 06:21:29 UTC,NoteOffering,5,resolved
248225,71668,11,2020-01-01 06:25:13 UTC,Code Problem,5,resolved
248226,53629,4,2020-01-01 06:28:00 UTC,Multiple Problem,5,resolved
248227,251355,10,2020-01-01 06:32:33 UTC,Code Problem,4,resolved
248228,438306,1,2020-01-01 06:35:12 UTC,Code Problem,1,resolved
248229,396014,10,2020-01-01 06:35:59 UTC,Code Problem,4,resolved
248230,155372,1,2020-01-01 06:45:24 UTC,Code Problem,5,resolved
248231,466342,1,2020-01-01 06:46:06 UTC,Code Problem,5,resolved
248232,367920,13,2020-01-01 06:47:52 UTC,Datascience Problem,5,resolved
248233,494326,11,2020-01-01 06:49:46 UTC,Code Problem,5,resolved
248234,442482,1,2020-01-01 06:52:37 UTC,Code Problem,5,resolved
248235,390553,2,2020-01-01 06:53:37 UTC,Code Problem,5,resolved
248236,455366,1,2020-01-01 06:57:35 UTC,Code Problem,5,resolved
